Station,Latitude,Longitude,Altitude
Alverca,38°53'46'',-9°02'25'',22
Arcos,38°31'45'',-8°53'39'',2
Avenida da Liberdade,38°43'13'',-9°08'45'',44
Beato,38°53'41'',-9°07'03'',56
Benfica,38°44'53'',-9°12'09'',76
Cascais,38°42'05'',-9°25'46'',41
Chamusca,39°21'09'',-8°27'58'',143
Entrecampos,38°44'55'',-9°08'56'',86
Escavadeira,38°39'31'',-9°04'01'',30
Fernando_Po,38°38'08'',-8°41'26'',57
Laranjeiro,38°39'49'',-9°09'28'',63
Lavradio,38°40'00'',-9°02'52'',31
Loures,38°49'47'',-9°09'52'',10
Lourinha,39°16'42'',-9°14'44'',143
Odivelas,38°48'08'',9°10'56'',124
Olivais,38°46'08'',-9°06'29'',32
Paio_Pires,38°37'10'',-9°04'52'',47
Quinta_Do_Marques,38°41'51'',-9°19'24'',48